grades 11-12	Drama	A Raisin in the Sun	Hansberry, Lorraine	9780451183880	Signet Classics	Penguin 	$7.99	A Raisin in the Sun is a classic of American drama that invites analysis of meaning and point of view through historical context and literary structure.	
grades 11-12	Drama	A Raisin in The Sun	Hansberry, Lorraine	9780679755333	Vintage	Random House	$7.50	A Raisin in the Sun is a work that captivated audiences from every walk of life and has become a classic of American letters. Its authentic, fiercely unsentimental, and unflinching look at black life has made it a favorite for drama, multicultural, and English units. A Common Core Exemplar. 	
grades 11-12	Drama	Caleb's Crossing	Gealdine Brooks	9780143121077		Penguin 	$16.00	Caleb's Crossing is an authentic fictional interpretation of Harvard's first Native American graduate. Inspired by a true story and narrated by the irresistible Bethia, Caleb’s Crossing brilliantly captures the triumphs and turmoil of two brave, openhearted spirits in the Puritan 1600's who risk everything in a search for knowledge at a time of superstition and ignorance.	
grades 11-12	Drama	Death of a Salesman	Miller, Arthur	9780140247732	Viking	Penguin 	$18.00	Death of a Salesman is a landmark dramatic production whose scathing, tragic and stylistic portrayal of the working American continues to be relevant.	
grades 11-12	Drama	Hamlet	Shakespeare	9780743477123	Folger Shakespeare Library	Simon & Schuster	 $ 5.99 	Hamlet portrays madness in its many guises and explores themes of treachery, revenge, incest, and moral corruption. This edition offers many advantages for educators:  Freshly edited text based on the best early printed version of the play, full explanatory notes on pages facing the text, scene-by-scene plot summaries, an introduction to reading Shakespeare's language, an essay by an outstanding scholar providing a modern perspective on the play, and illustrations from the Folger Shakespeare Library's vast holdings of rare books.	2003
grades 11-12	Drama	On the Road	Jack Kerouac	9780140042597		Penguin 	$16.00	Kerouac's stylistically driven account of the American Beats still rings true in discussions regarding the American novel.	
grades 11-12	Drama	Our Town: A Play in Three Acts	Wilder, Thornton	9780060512637	Perennial	HarperCollins	14.99	First produced and published in 1938, this Pulitzer Prize-winning drama of life in the small village of Grover’s Corners has become an American classic and is Thornton Wider’s most renowned and most frequently performed play.	
grades 11-12	Drama	Tartuffe and other Plays	Molière, Jean-Baptiste Poquelin	9780451530332	Penguin	Signet Classic	7.95	Seven plays by the genius of French theater. Including The Ridiculous Precieuses, The School for Husbands, The School for Wives, Don Juan, The Versailles Impromptu, and The Critique of the School for Wives, this collection showcases the talent of perhaps the greatest and best-loved French playwright.	
grades 11-12	Drama	The Importance of Being Earnest	Wilde, Oscar	9780812967142	Modern Library	Random House	$10.95	Originally performed in 1895, Oscar Wilde’s farcical comedy of false identities and social conventions has entertained classrooms for years. Its satirical themes make it ideal for any Drama or English unit, as well as a Common Core Exemplar. 	
grades 11-12	Drama	The Importance of Being Earnest	Wilde, Oscar	9780380012770	Harper Collins	Avon		The Importance of Being Earnest shows Oscar Wilde's legendary wit, and embodies his decency and warmth. This edition contains excerpts from the original four-act version which was never produced, as well as selections from Wilde's correspondence and commentary.	
